[tileset]
img=images/tilesets/maps.png
tile=6,16,16,32,32,16,16
tile=7,32,0,32,32,16,16
tile=8,64,0,32,32,16,16
tile=9,96,0,32,32,16,16
tile=10,128,0,32,32,16,16
tile=11,160,0,32,32,16,16
tile=12,192,0,32,32,16,16
tile=13,224,0,32,32,16,16
tile=14,256,0,32,32,16,16
tile=15,288,0,32,32,16,16
tile=16,320,0,32,32,16,16
tile=17,352,0,32,32,16,16
tile=18,384,0,32,32,16,16
tile=19,416,0,32,32,16,16
tile=20,448,0,32,32,16,16
tile=21,480,0,32,32,16,16
tile=22,512,0,32,32,16,16
tile=23,544,0,32,32,16,16
tile=24,576,0,32,32,16,16
tile=25,608,0,32,32,16,16
tile=26,0,32,32,32,16,16
tile=27,32,32,32,32,16,16
tile=28,64,32,32,32,16,16
tile=29,96,32,32,32,16,16
tile=30,128,32,32,32,16,16
tile=31,160,32,32,32,16,16
tile=32,192,32,32,32,16,16
tile=33,224,32,32,32,16,16
tile=34,256,32,32,32,16,16
tile=35,288,32,32,32,16,16
tile=36,320,32,32,32,16,16
tile=37,352,32,32,32,16,16
tile=38,384,32,32,32,16,16
tile=39,416,32,32,32,16,16
tile=40,448,32,32,32,16,16
tile=41,480,32,32,32,16,16
tile=42,512,32,32,32,16,16
tile=43,544,32,32,32,16,16
tile=44,576,32,32,32,16,16
tile=45,608,32,32,32,16,16
tile=46,0,64,32,32,16,16
tile=47,32,64,32,32,16,16
tile=48,64,64,32,32,16,16
tile=49,96,64,32,32,16,16
tile=50,128,64,32,32,16,16
tile=51,160,64,32,32,16,16
tile=52,192,64,32,32,16,16
tile=53,224,64,32,32,16,16
tile=54,256,64,32,32,16,16
tile=55,288,64,32,32,16,16
tile=56,320,64,32,32,16,16
tile=57,352,64,32,32,16,16
tile=58,384,64,32,32,16,16
tile=59,416,64,32,32,16,16
tile=60,448,64,32,32,16,16
tile=61,480,64,32,32,16,16
tile=62,512,64,32,32,16,16
tile=63,544,64,32,32,16,16
tile=64,576,64,32,32,16,16
tile=65,608,64,32,32,16,16
tile=66,0,96,32,32,16,16
tile=67,32,96,32,32,16,16
tile=68,64,96,32,32,16,16
tile=69,96,96,32,32,16,16
tile=70,128,96,32,32,16,16
tile=71,160,96,32,32,16,16
tile=72,192,96,32,32,16,16
tile=73,224,96,32,32,16,16
tile=74,256,96,32,32,16,16
tile=75,288,96,32,32,16,16
tile=76,320,96,32,32,16,16
tile=77,352,96,32,32,16,16
tile=78,384,96,32,32,16,16
tile=79,416,96,32,32,16,16
tile=80,448,96,32,32,16,16
tile=81,480,96,32,32,16,16
tile=82,512,96,32,32,16,16
tile=83,544,96,32,32,16,16
tile=84,576,96,32,32,16,16
tile=85,608,96,32,32,16,16
tile=86,0,128,32,32,16,16
tile=87,32,128,32,32,16,16
tile=88,64,128,32,32,16,16
tile=89,96,128,32,32,16,16
tile=90,128,128,32,32,16,16
tile=91,160,128,32,32,16,16
tile=92,192,128,32,32,16,16
tile=93,224,128,32,32,16,16
tile=94,256,128,32,32,16,16
tile=95,288,128,32,32,16,16
tile=96,320,128,32,32,16,16
tile=97,352,128,32,32,16,16
tile=98,384,128,32,32,16,16
tile=99,416,128,32,32,16,16
tile=100,448,128,32,32,16,16
tile=101,480,128,32,32,16,16
tile=102,512,128,32,32,16,16
tile=103,544,128,32,32,16,16
tile=104,576,128,32,32,16,16
tile=105,608,128,32,32,16,16
tile=106,0,160,32,32,16,16
tile=107,32,160,32,32,16,16
tile=108,64,160,32,32,16,16
tile=109,96,160,32,32,16,16
tile=110,128,160,32,32,16,16
tile=111,160,160,32,32,16,16
tile=112,192,160,32,32,16,16
tile=113,224,160,32,32,16,16
tile=114,256,160,32,32,16,16
tile=115,288,160,32,32,16,16
tile=116,320,160,32,32,16,16
tile=117,352,160,32,32,16,16
tile=118,384,160,32,32,16,16
tile=119,416,160,32,32,16,16
tile=120,448,160,32,32,16,16
tile=121,480,160,32,32,16,16
tile=122,512,160,32,32,16,16
tile=123,544,160,32,32,16,16
tile=124,576,160,32,32,16,16
tile=125,608,160,32,32,16,16
tile=126,0,192,32,32,16,16
tile=127,32,192,32,32,16,16
